# Lab 01 full HTTP request record plus supporting health/rescheduling evidence.
# Columns: utc total errors http curl_exit latency_seconds phase outcome
# HTTP probe used a Mac outside the cluster, ALB /healthz, no retries, one outstanding request, 5s timeout and 0.2s inter-request sleep.
# Rows are unmodified; comment-prefixed supporting records follow the complete HTTP log.
# utc total errors http curl_exit latency_seconds phase outcome
2026-09-08T18:23:47Z 80 0 200 0 0.070084 preflight success
2026-09-08T18:23:48Z 81 0 200 0 0.075224 preflight success
2026-09-08T18:23:48Z 82 0 200 0 0.072129 preflight success
2026-09-08T18:23:48Z 83 0 200 0 0.072884 preflight success
2026-09-08T18:23:49Z 84 0 200 0 0.065642 preflight success
2026-09-08T18:23:49Z 85 0 200 0 0.067683 preflight success
2026-09-08T18:23:49Z 86 0 200 0 0.065347 preflight success
2026-09-08T18:23:49Z 87 0 200 0 0.072281 preflight success
2026-09-08T18:23:50Z 88 0 200 0 0.070263 preflight success
2026-09-08T18:23:50Z 89 0 200 0 0.075362 preflight success
2026-09-08T18:23:50Z 90 0 200 0 0.175854 preflight success
2026-09-08T18:23:51Z 91 0 200 0 0.073185 preflight success
2026-09-08T18:23:51Z 92 0 200 0 0.071566 preflight success
2026-09-08T18:23:51Z 93 0 200 0 0.069937 preflight success
2026-09-08T18:23:52Z 94 0 200 0 0.074430 preflight success
2026-09-08T18:23:52Z 95 0 200 0 0.071479 preflight success
2026-09-08T18:23:52Z 96 0 200 0 0.066562 preflight success
2026-09-08T18:23:53Z 97 0 200 0 0.065842 preflight success
2026-09-08T18:23:53Z 98 0 200 0 0.066373 preflight success
2026-09-08T18:23:53Z 99 0 200 0 0.073885 preflight success
2026-09-08T18:23:54Z 100 0 200 0 0.060531 preflight success
2026-09-08T18:23:54Z 101 0 200 0 0.078570 preflight success
2026-09-08T18:23:54Z 102 0 200 0 0.070480 preflight success
2026-09-08T18:23:55Z 103 0 200 0 0.066437 preflight success
2026-09-08T18:23:55Z 104 0 200 0 0.061466 preflight success
2026-09-08T18:23:55Z 105 0 200 0 0.065801 preflight success
2026-09-08T18:23:55Z 106 0 200 0 0.066456 preflight success
2026-09-08T18:23:56Z 107 0 200 0 0.069968 preflight success
2026-09-08T18:23:56Z 108 0 200 0 0.075584 preflight success
2026-09-08T18:23:56Z 109 0 200 0 0.062860 preflight success
2026-09-08T18:23:57Z 110 0 200 0 0.075142 preflight success
2026-09-08T18:23:57Z 111 0 200 0 0.066870 preflight success
2026-09-08T18:23:57Z 112 0 200 0 0.066266 preflight success
2026-09-08T18:23:58Z 113 0 200 0 0.077372 preflight success
2026-09-08T18:23:58Z 114 0 200 0 0.064002 preflight success
2026-09-08T18:23:58Z 115 0 200 0 0.069793 preflight success
2026-09-08T18:23:59Z 116 0 200 0 0.065782 preflight success
2026-09-08T18:23:59Z 117 0 200 0 0.075157 preflight success
2026-09-08T18:23:59Z 118 0 200 0 0.075158 preflight success
2026-09-08T18:24:00Z 119 0 200 0 0.071232 preflight success
2026-09-08T18:24:00Z 120 0 200 0 0.068136 preflight success
2026-09-08T18:24:00Z 121 0 200 0 0.067004 preflight success
2026-09-08T18:24:00Z 122 0 200 0 1.069383 preflight success
2026-09-08T18:24:02Z 123 0 200 0 0.073020 preflight success
