NAMESPACE     LAST SEEN   TYPE      REASON                    OBJECT                                                           MESSAGE
kube-system   12m         Normal    Pulled                    pod/aws-load-balancer-controller-5698d6c4b8-s2cdc                Successfully pulled image "public.ecr.aws/eks/aws-load-balancer-controller:v2.14.1" in 917ms (917ms including waiting). Image size: 27078263 bytes.
kube-system   12m         Normal    LeaderElection            lease/aws-load-balancer-controller-leader                        aws-load-balancer-controller-5698d6c4b8-s2cdc_43504892-9975-4fba-86be-4b1b6481cd92 became leader
monitoring    12m         Normal    SuccessfulCreate          job/kube-prometheus-stack-admission-create                       Created pod: kube-prometheus-stack-admission-create-22hph
monitoring    12m         Normal    Scheduled                 pod/kube-prometheus-stack-admission-create-22hph                 Successfully assigned monitoring/kube-prometheus-stack-admission-create-22hph to <NODE-01>
monitoring    12m         Normal    Pulling                   pod/kube-prometheus-stack-admission-create-22hph                 Pulling image "ghcr.io/jkroepke/kube-webhook-certgen:1.8.8"
monitoring    12m         Normal    Pulled                    pod/kube-prometheus-stack-admission-create-22hph                 Successfully pulled image "ghcr.io/jkroepke/kube-webhook-certgen:1.8.8" in 460ms (460ms including waiting). Image size: 9457373 bytes.
monitoring    12m         Normal    Started                   pod/kube-prometheus-stack-admission-create-22hph                 Container started
monitoring    12m         Normal    Created                   pod/kube-prometheus-stack-admission-create-22hph                 Container created
monitoring    12m         Normal    Completed                 job/kube-prometheus-stack-admission-create                       Job completed
monitoring    12m         Normal    ScalingReplicaSet         deployment/kube-prometheus-stack-grafana                         Scaled up replica set kube-prometheus-stack-grafana-5cd4986778 from 0 to 1
monitoring    12m         Normal    ScalingReplicaSet         deployment/kube-prometheus-stack-operator                        Scaled up replica set kube-prometheus-stack-operator-7fd66ffc65 from 0 to 1
monitoring    12m         Normal    Scheduled                 pod/kube-prometheus-stack-prometheus-node-exporter-8s4dn         Successfully assigned monitoring/kube-prometheus-stack-prometheus-node-exporter-8s4dn to <NODE-01>
monitoring    12m         Normal    SuccessfulCreate          replicaset/kube-prometheus-stack-kube-state-metrics-7bb8776849   Created pod: kube-prometheus-stack-kube-state-metrics-7bb8776849-xbdhm
monitoring    12m         Normal    ScalingReplicaSet         deployment/kube-prometheus-stack-kube-state-metrics              Scaled up replica set kube-prometheus-stack-kube-state-metrics-7bb8776849 from 0 to 1
monitoring    12m         Normal    SuccessfulCreate          daemonset/kube-prometheus-stack-prometheus-node-exporter         Created pod: kube-prometheus-stack-prometheus-node-exporter-8s4dn
monitoring    12m         Normal    SuccessfulCreate          daemonset/kube-prometheus-stack-prometheus-node-exporter         Created pod: kube-prometheus-stack-prometheus-node-exporter-d8jw2
monitoring    12m         Normal    Scheduled                 pod/kube-prometheus-stack-prometheus-node-exporter-d8jw2         Successfully assigned monitoring/kube-prometheus-stack-prometheus-node-exporter-d8jw2 to <NODE-02>
monitoring    12m         Normal    SuccessfulCreate          daemonset/kube-prometheus-stack-prometheus-node-exporter         Created pod: kube-prometheus-stack-prometheus-node-exporter-v7sr8
monitoring    12m         Normal    Scheduled                 pod/kube-prometheus-stack-prometheus-node-exporter-v7sr8         Successfully assigned monitoring/kube-prometheus-stack-prometheus-node-exporter-v7sr8 to <NODE-04>
monitoring    12m         Normal    Pulling                   pod/kube-prometheus-stack-prometheus-node-exporter-d8jw2         Pulling image "quay.io/prometheus/node-exporter:v1.12.1-distroless"
monitoring    12m         Normal    SuccessfulCreate          replicaset/kube-prometheus-stack-grafana-5cd4986778              Created pod: kube-prometheus-stack-grafana-5cd4986778-4ltrq
monitoring    12m         Normal    SuccessfulCreate          replicaset/kube-prometheus-stack-operator-7fd66ffc65             Created pod: kube-prometheus-stack-operator-7fd66ffc65-tb8wn
monitoring    12m         Normal    Pulling                   pod/kube-prometheus-stack-operator-7fd66ffc65-tb8wn              Pulling image "quay.io/prometheus-operator/prometheus-operator:v0.93.1"
monitoring    12m         Normal    Scheduled                 pod/kube-prometheus-stack-operator-7fd66ffc65-tb8wn              Successfully assigned monitoring/kube-prometheus-stack-operator-7fd66ffc65-tb8wn to <NODE-04>
monitoring    12m         Normal    Pulling                   pod/kube-prometheus-stack-prometheus-node-exporter-v7sr8         Pulling image "quay.io/prometheus/node-exporter:v1.12.1-distroless"
monitoring    12m         Normal    SuccessfulCreate          daemonset/kube-prometheus-stack-prometheus-node-exporter         Created pod: kube-prometheus-stack-prometheus-node-exporter-kjqsn
monitoring    12m         Normal    Pulling                   pod/kube-prometheus-stack-prometheus-node-exporter-kjqsn         Pulling image "quay.io/prometheus/node-exporter:v1.12.1-distroless"
monitoring    12m         Normal    Scheduled                 pod/kube-prometheus-stack-prometheus-node-exporter-kjqsn         Successfully assigned monitoring/kube-prometheus-stack-prometheus-node-exporter-kjqsn to <NODE-03>
monitoring    12m         Normal    Pulling                   pod/kube-prometheus-stack-kube-state-metrics-7bb8776849-xbdhm    Pulling image "registry.k8s.io/kube-state-metrics/kube-state-metrics:v2.20.0"
monitoring    12m         Normal    Scheduled                 pod/kube-prometheus-stack-kube-state-metrics-7bb8776849-xbdhm    Successfully assigned monitoring/kube-prometheus-stack-kube-state-metrics-7bb8776849-xbdhm to <NODE-01>
monitoring    12m         Normal    Scheduled                 pod/kube-prometheus-stack-grafana-5cd4986778-4ltrq               Successfully assigned monitoring/kube-prometheus-stack-grafana-5cd4986778-4ltrq to <NODE-01>
monitoring    12m         Normal    Pulling                   pod/kube-prometheus-stack-prometheus-node-exporter-8s4dn         Pulling image "quay.io/prometheus/node-exporter:v1.12.1-distroless"
monitoring    12m         Normal    Pulled                    pod/kube-prometheus-stack-prometheus-node-exporter-v7sr8         Successfully pulled image "quay.io/prometheus/node-exporter:v1.12.1-distroless" in 1.413s (1.413s including waiting). Image size: 13123706 bytes.
monitoring    12m         Normal    Pulling                   pod/kube-prometheus-stack-grafana-5cd4986778-4ltrq               Pulling image "quay.io/kiwigrid/k8s-sidecar:2.11.2"
monitoring    12m         Normal    Created                   pod/kube-prometheus-stack-prometheus-node-exporter-v7sr8         Container created
monitoring    12m         Normal    Started                   pod/kube-prometheus-stack-prometheus-node-exporter-v7sr8         Container started
monitoring    12m         Normal    Pulled                    pod/kube-prometheus-stack-kube-state-metrics-7bb8776849-xbdhm    Successfully pulled image "registry.k8s.io/kube-state-metrics/kube-state-metrics:v2.20.0" in 1.227s (1.227s including waiting). Image size: 19261896 bytes.
monitoring    12m         Normal    Pulled                    pod/kube-prometheus-stack-operator-7fd66ffc65-tb8wn              Successfully pulled image "quay.io/prometheus-operator/prometheus-operator:v0.93.1" in 1.668s (1.668s including waiting). Image size: 20931128 bytes.
monitoring    12m         Normal    Started                   pod/kube-prometheus-stack-kube-state-metrics-7bb8776849-xbdhm    Container started
monitoring    12m         Normal    Created                   pod/kube-prometheus-stack-kube-state-metrics-7bb8776849-xbdhm    Container created
monitoring    12m         Normal    Started                   pod/kube-prometheus-stack-operator-7fd66ffc65-tb8wn              Container started
monitoring    12m         Normal    Created                   pod/kube-prometheus-stack-operator-7fd66ffc65-tb8wn              Container created
monitoring    12m         Normal    Created                   pod/kube-prometheus-stack-prometheus-node-exporter-kjqsn         Container created
monitoring    12m         Normal    Pulled                    pod/kube-prometheus-stack-prometheus-node-exporter-kjqsn         Successfully pulled image "quay.io/prometheus/node-exporter:v1.12.1-distroless" in 2.32s (2.32s including waiting). Image size: 13123706 bytes.
monitoring    12m         Normal    Scheduled                 pod/prometheus-kube-prometheus-stack-prometheus-0                Successfully assigned monitoring/prometheus-kube-prometheus-stack-prometheus-0 to <NODE-04>
monitoring    12m         Normal    Created                   pod/kube-prometheus-stack-prometheus-node-exporter-d8jw2         Container created
monitoring    12m         Normal    Started                   pod/kube-prometheus-stack-prometheus-node-exporter-d8jw2         Container started
monitoring    12m         Normal    Started                   pod/kube-prometheus-stack-prometheus-node-exporter-kjqsn         Container started
monitoring    12m         Normal    SuccessfulCreate          statefulset/prometheus-kube-prometheus-stack-prometheus          Create Pod prometheus-kube-prometheus-stack-prometheus-0 in StatefulSet prometheus-kube-prometheus-stack-prometheus successful
monitoring    12m         Normal    Pulled                    pod/kube-prometheus-stack-prometheus-node-exporter-d8jw2         Successfully pulled image "quay.io/prometheus/node-exporter:v1.12.1-distroless" in 3.21s (3.21s including waiting). Image size: 13123706 bytes.
monitoring    12m         Normal    Pulling                   pod/prometheus-kube-prometheus-stack-prometheus-0                Pulling image "quay.io/prometheus-operator/prometheus-config-reloader:v0.93.1"
monitoring    12m         Normal    Pulled                    pod/kube-prometheus-stack-grafana-5cd4986778-4ltrq               Successfully pulled image "quay.io/kiwigrid/k8s-sidecar:2.11.2" in 3.844s (3.844s including waiting). Image size: 30425575 bytes.
monitoring    12m         Normal    Pulled                    pod/prometheus-kube-prometheus-stack-prometheus-0                Successfully pulled image "quay.io/prometheus-operator/prometheus-config-reloader:v0.93.1" in 656ms (656ms including waiting). Image size: 14570918 bytes.
monitoring    12m         Normal    Created                   pod/prometheus-kube-prometheus-stack-prometheus-0                Container created
monitoring    12m         Normal    Started                   pod/kube-prometheus-stack-prometheus-node-exporter-8s4dn         Container started
monitoring    12m         Normal    Created                   pod/kube-prometheus-stack-grafana-5cd4986778-4ltrq               Container created
monitoring    12m         Normal    Pulled                    pod/kube-prometheus-stack-prometheus-node-exporter-8s4dn         Successfully pulled image "quay.io/prometheus/node-exporter:v1.12.1-distroless" in 3.888s (3.888s including waiting). Image size: 13123706 bytes.
monitoring    12m         Normal    Created                   pod/kube-prometheus-stack-prometheus-node-exporter-8s4dn         Container created
monitoring    12m         Normal    Pulling                   pod/kube-prometheus-stack-grafana-5cd4986778-4ltrq               Pulling image "docker.io/grafana/grafana:13.2.1-distroless"
monitoring    12m         Normal    Pulled                    pod/kube-prometheus-stack-grafana-5cd4986778-4ltrq               Container image "quay.io/kiwigrid/k8s-sidecar:2.11.2" already present on machine and can be accessed by the pod
monitoring    12m         Normal    Started                   pod/prometheus-kube-prometheus-stack-prometheus-0                Container started
monitoring    12m         Normal    Started                   pod/kube-prometheus-stack-grafana-5cd4986778-4ltrq               Container started
monitoring    12m         Normal    Started                   pod/kube-prometheus-stack-grafana-5cd4986778-4ltrq               Container started
monitoring    12m         Normal    Created                   pod/kube-prometheus-stack-grafana-5cd4986778-4ltrq               Container created
monitoring    12m         Normal    Pulling                   pod/prometheus-kube-prometheus-stack-prometheus-0                Pulling image "quay.io/prometheus/prometheus:v3.14.0-distroless"
monitoring    12m         Normal    Created                   pod/prometheus-kube-prometheus-stack-prometheus-0                Container created
monitoring    12m         Normal    Pulled                    pod/prometheus-kube-prometheus-stack-prometheus-0                Container image "quay.io/prometheus-operator/prometheus-config-reloader:v0.93.1" already present on machine and can be accessed by the pod
monitoring    12m         Normal    Pulled                    pod/prometheus-kube-prometheus-stack-prometheus-0                Successfully pulled image "quay.io/prometheus/prometheus:v3.14.0-distroless" in 1.857s (1.857s including waiting). Image size: 109074849 bytes.
monitoring    12m         Normal    Created                   pod/prometheus-kube-prometheus-stack-prometheus-0                Container created
monitoring    12m         Normal    Started                   pod/prometheus-kube-prometheus-stack-prometheus-0                Container started
monitoring    12m         Normal    Started                   pod/prometheus-kube-prometheus-stack-prometheus-0                Container started
monitoring    12m         Normal    Started                   pod/kube-prometheus-stack-grafana-5cd4986778-4ltrq               Container started
monitoring    12m         Normal    Pulled                    pod/kube-prometheus-stack-grafana-5cd4986778-4ltrq               Successfully pulled image "docker.io/grafana/grafana:13.2.1-distroless" in 11.919s (11.919s including waiting). Image size: 458445260 bytes.
monitoring    12m         Normal    Created                   pod/kube-prometheus-stack-grafana-5cd4986778-4ltrq               Container created
monitoring    12m         Warning   Unhealthy                 pod/kube-prometheus-stack-grafana-5cd4986778-4ltrq               Readiness probe failed: Get "http://<IP-08>:3000/api/health": dial tcp <IP-08>:3000: connect: connection refused
monitoring    12m         Normal    Scheduled                 pod/kube-prometheus-stack-admission-patch-cnm55                  Successfully assigned monitoring/kube-prometheus-stack-admission-patch-cnm55 to <NODE-01>
monitoring    12m         Normal    SuccessfulCreate          job/kube-prometheus-stack-admission-patch                        Created pod: kube-prometheus-stack-admission-patch-cnm55
monitoring    12m         Normal    Pulled                    pod/kube-prometheus-stack-admission-patch-cnm55                  Container image "ghcr.io/jkroepke/kube-webhook-certgen:1.8.8" already present on machine and can be accessed by the pod
monitoring    12m         Normal    Created                   pod/kube-prometheus-stack-admission-patch-cnm55                  Container created
monitoring    12m         Normal    Started                   pod/kube-prometheus-stack-admission-patch-cnm55                  Container started
monitoring    12m         Normal    Completed                 job/kube-prometheus-stack-admission-patch                        Job completed
default       6m54s       Normal    Scheduled                 pod/http-demo-75ccdcd48f-mz88h                                   Successfully assigned default/http-demo-75ccdcd48f-mz88h to <NODE-04>
default       6m54s       Normal    SuccessfulCreate          replicaset/http-demo-75ccdcd48f                                  Created pod: http-demo-75ccdcd48f-mz88h
default       6m54s       Normal    ScalingReplicaSet         deployment/http-demo                                             Scaled up replica set http-demo-75ccdcd48f from 0 to 2
default       6m54s       Normal    Scheduled                 pod/http-demo-75ccdcd48f-h8cqp                                   Successfully assigned default/http-demo-75ccdcd48f-h8cqp to <NODE-01>
default       6m54s       Normal    SuccessfulCreate          replicaset/http-demo-75ccdcd48f                                  Created pod: http-demo-75ccdcd48f-h8cqp
default       6m53s       Normal    Pulling                   pod/http-demo-75ccdcd48f-mz88h                                   Pulling image "nginxinc/nginx-unprivileged:1.28.0-alpine"
default       6m53s       Normal    Pulling                   pod/http-demo-75ccdcd48f-h8cqp                                   Pulling image "nginxinc/nginx-unprivileged:1.28.0-alpine"
default       6m52s       Normal    Started                   pod/http-demo-75ccdcd48f-h8cqp                                   Container started
default       6m52s       Normal    Pulled                    pod/http-demo-75ccdcd48f-mz88h                                   Successfully pulled image "nginxinc/nginx-unprivileged:1.28.0-alpine" in 947ms (947ms including waiting). Image size: 21018519 bytes.
default       6m52s       Normal    Created                   pod/http-demo-75ccdcd48f-mz88h                                   Container created
default       6m52s       Normal    Started                   pod/http-demo-75ccdcd48f-mz88h                                   Container started
default       6m52s       Normal    Created                   pod/http-demo-75ccdcd48f-h8cqp                                   Container created
default       6m52s       Normal    Pulled                    pod/http-demo-75ccdcd48f-h8cqp                                   Successfully pulled image "nginxinc/nginx-unprivileged:1.28.0-alpine" in 1.098s (1.098s including waiting). Image size: 21018519 bytes.
default       6m16s       Normal    SuccessfullyReconciled    ingress/lab01-http-demo                                          Successfully reconciled
default       6m15s       Normal    SuccessfullyReconciled    targetgroupbinding/k8s-default-httpdemo-da63177636               Successfully reconciled
