NAMESPACE     LAST SEEN   TYPE      REASON                    OBJECT                                                           MESSAGE
kube-system   53m         Normal    Pulling                   pod/eks-pod-identity-agent-bmk6c                                 Pulling image "602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/eks-pod-identity-agent:v0.1.37"
kube-system   53m         Normal    Pulled                    pod/eks-pod-identity-agent-mfjkk                                 Successfully pulled image "602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/eks-pod-identity-agent:v0.1.37" in 2.503s (2.503s including waiting). Image size: 15197176 bytes.
kube-system   53m         Normal    Started                   pod/eks-pod-identity-agent-bmk6c                                 Container started
kube-system   53m         Normal    Created                   pod/eks-pod-identity-agent-bmk6c                                 Container created
kube-system   53m         Normal    Pulled                    pod/eks-pod-identity-agent-bmk6c                                 Successfully pulled image "602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/eks-pod-identity-agent:v0.1.37" in 1.284s (1.284s including waiting). Image size: 15197176 bytes.
default       53m         Normal    RegisteredNode            node/<NODE-03>                                 Node <NODE-03> event: Registered Node <NODE-03> in Controller
kube-system   53m         Normal    Created                   pod/eks-pod-identity-agent-mfjkk                                 Container created
default       53m         Normal    RegisteredNode            node/<NODE-04>                                  Node <NODE-04> event: Registered Node <NODE-04> in Controller
default       53m         Normal    RegisteredNode            node/<NODE-01>                                  Node <NODE-01> event: Registered Node <NODE-01> in Controller
kube-system   53m         Normal    Started                   pod/eks-pod-identity-agent-mfjkk                                 Container started
kube-system   53m         Normal    Pulled                    pod/aws-node-9tgh2                                               Successfully pulled image "602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon-k8s-cni-init:v1.22.4-eksbuild.3" in 3.256s (3.256s including waiting). Image size: 69724381 bytes.
kube-system   53m         Normal    Started                   pod/aws-node-qd46x                                               Container started
kube-system   53m         Normal    Pulled                    pod/aws-node-b7n6t                                               Successfully pulled image "602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon-k8s-cni-init:v1.22.4-eksbuild.3" in 3.048s (3.048s including waiting). Image size: 69724381 bytes.
kube-system   53m         Normal    Pulled                    pod/aws-node-qd46x                                               Successfully pulled image "602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon-k8s-cni-init:v1.22.4-eksbuild.3" in 4.043s (4.043s including waiting). Image size: 69724381 bytes.
kube-system   53m         Normal    Created                   pod/aws-node-qd46x                                               Container created
kube-system   53m         Normal    Created                   pod/eks-pod-identity-agent-mfjkk                                 Container created
kube-system   53m         Normal    Started                   pod/aws-node-b7n6t                                               Container started
kube-system   53m         Normal    Created                   pod/aws-node-b7n6t                                               Container created
kube-system   53m         Normal    Pulled                    pod/eks-pod-identity-agent-mfjkk                                 Successfully pulled image "602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/eks-pod-identity-agent:v0.1.37" in 257ms (257ms including waiting). Image size: 15197176 bytes.
kube-system   53m         Normal    Started                   pod/eks-pod-identity-agent-mfjkk                                 Container started
kube-system   53m         Normal    Pulling                   pod/eks-pod-identity-agent-mfjkk                                 Pulling image "602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/eks-pod-identity-agent:v0.1.37"
kube-system   53m         Normal    Created                   pod/aws-node-9tgh2                                               Container created
kube-system   53m         Normal    Started                   pod/aws-node-9tgh2                                               Container started
kube-system   53m         Normal    Pulling                   pod/aws-node-9tgh2                                               Pulling image "602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon-k8s-cni:v1.22.4-eksbuild.3"
kube-system   53m         Normal    Pulling                   pod/aws-node-qd46x                                               Pulling image "602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon-k8s-cni:v1.22.4-eksbuild.3"
kube-system   53m         Normal    Pulling                   pod/aws-node-b7n6t                                               Pulling image "602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon-k8s-cni:v1.22.4-eksbuild.3"
kube-system   53m         Normal    Pulling                   pod/eks-pod-identity-agent-6zsqw                                 Pulling image "602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/eks-pod-identity-agent:v0.1.37"
kube-system   53m         Normal    Pulled                    pod/eks-pod-identity-agent-6zsqw                                 Successfully pulled image "602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/eks-pod-identity-agent:v0.1.37" in 80ms (80ms including waiting). Image size: 15197176 bytes.
kube-system   53m         Normal    Pulling                   pod/eks-pod-identity-agent-bmk6c                                 Pulling image "602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/eks-pod-identity-agent:v0.1.37"
kube-system   53m         Normal    Started                   pod/eks-pod-identity-agent-6zsqw                                 Container started
kube-system   53m         Normal    Created                   pod/eks-pod-identity-agent-6zsqw                                 Container created
kube-system   53m         Normal    Pulled                    pod/eks-pod-identity-agent-bmk6c                                 Successfully pulled image "602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/eks-pod-identity-agent:v0.1.37" in 82ms (82ms including waiting). Image size: 15197176 bytes.
kube-system   53m         Normal    Created                   pod/eks-pod-identity-agent-bmk6c                                 Container created
kube-system   53m         Normal    Started                   pod/eks-pod-identity-agent-bmk6c                                 Container started
kube-system   53m         Normal    Started                   pod/aws-node-b7n6t                                               Container started
